Year,Taregir,Veradir,,,,
1909,Ը,ԺԹ,,,,
1910,Ռ,Լ,,,,
1911,Մ,ԺԱ,,,,
1912,ԵԴ,ԻԲ,,,,
1913,Ո,Գ,,,,
1914,Հ,ԺԴ,,,,
1915,Ա,ԻԵ,,,,
1916,ՅՄ,Զ,,,,
1917,Լ,ԺԷ,,,,
1918,Ր,ԻԸ,,,,
1919,Ձ,Թ,,,,
1920,ԹԸ,ԻԱ,,,,
1921,Ռ,Բ,,,,
1922,Խ,ԺԴ,,,,
1923,Ե,ԻԴ,,,,
1924,ՉՈ,Ե,,,,
1925,Հ,ԺԶ,,,,
1926,Ս,ԻԷ,,,,
1927,Յ,Ը,,,,
1928,ԽԼ,ԺԹ,,,,
1929,Ր,Լ,,,,
1930,Ձ,ԺԱ,,,,
1931,Թ,ԻԲ,,,,
1932,ՍՌ,Գ,,,,
1933,Խ,ԺԴ,,,,
1934,Ե,ԻԵ,,,,
1935,Չ,Զ,,,,
1936,ԺԹ,ԺԷ,,,,
1937,Ս,ԻԸ,,,,
1938,Յ,Թ,,,,
1939,Զ,ԻԱ,,,,
1940,ՊՉ,Բ,,,,
1941,Ձ,ԺԴ,,,,
1942,Բ,ԻԴ,,,,
1943,Ն,Ե,,,,
1944,ԾԽ,ԺԶ,,,,
1945,Ց,ԻԷ,,,,
1946,Ղ,Ը,,,,
1947,Ժ,ԺԹ,,,,
1948,ՎՍ,Լ,,,,
1949,Յ,ԺԱ,,,,
1950,Զ,ԻԲ,,,,
1951,Պ,Գ,,,,
1952,ՂՁ,ԺԴ,,,,
1953,Բ,ԻԵ,,,,
1954,Ն,Զ,,,,
1955,Ծ,ԺԷ,,,,
1956,ԻՑ,ԻԸ,,,,
1957,Ղ,Թ,,,,
1958,Ժ,ԻԱ,,,,
1959,Վ,Բ,,,,
1960,ԿԾ,ԺԴ,,,,
1961,Զ,ԻԴ,,,,
1962,Պ,Ե,,,,
1963,Ի,ԺԶ,,,,
1964,ՏՎ,ԻԷ,,,,
1965,Ն,Ը,,,,
1966,Է,ԺԹ,,,,
1967,Ջ,Լ,,,,
1968,ՃՂ,ԺԱ,,,,
1969,Ժ,ԻԲ,,,,
1970,Շ,Գ,,,,
1971,Կ,ԺԴ,,,,
1972,ԷԶ,ԻԵ,,,,
1973,Պ,Զ,,,,
1974,Ի,ԺԷ,,,,
1975,Տ,ԻԸ,,,,
1976,ՇՆ,Թ,,,,
1977,Է,ԻԱ,,,,
1978,Ջ,Բ,,,,
1979,Ճ,ԺԴ,,,,
1980,ԴԳ,ԻԴ,,,,
1981,Շ,Ե,,,,
1982,Կ,ԺԶ,,,,
1983,Փ,ԻԷ,,,,
1984,ՄՃ,Ը,,,,
1985,Ի,ԺԹ,,,,
1986,Տ,Լ,,,,
1987,Հ,ԺԱ,,,,
1988,ԸԷ,ԻԲ,,,,
1989,Ջ,Գ,,,,
1990,Լ,ԺԴ,,,,
1991,Դ,ԻԵ,,,,
1992,ՈՇ,Զ,,,,
1993,Կ,ԺԷ,,,,
1994,Ռ,ԻԸ,,,,
1995,Մ,Թ,,,,
1996,ԼԻ,ԻԱ,,,,
1997,Ո,Բ,,,,
1998,Հ,ԺԴ,,,,
1999,Ը,ԻԴ,,,,
2000,ՌՋ,Ե,,,,
2001,Լ,ԺԶ,,,,
2002,Ր,ԻԷ,,,,
2003,Ո,Ը,,,,
2004,ԹԸ,ԺԹ,,,,
2005,Ռ,Լ,,,,
2006,Մ,ԺԱ,,,,
2007,Ե,ԻԲ,,,,
2008,ՉՈ,Գ,,,,
2009,Հ,ԺԴ,,,,
2010,Ա,ԻԵ,,,,
2011,Յ,Զ,,,,
2012,ԽԼ,ԺԷ,,,,
2013,Ր,ԻԸ,,,,
2014,Ձ,Թ,,,,
2015,Թ,ԻԱ,,,,
2016,ՍՌ,Բ,,,,
2017,Խ,ԺԴ,,,,
2018,Ե,ԻԴ,,,,
2019,Չ,Ե,,,,
2020,ՁՀ,ԺԶ,,,,
2021,Ս,ԻԷ,,,,
2022,Յ,Ը,,,,
2023,Խ,ԺԹ,,,,
2024,ՑՐ,Լ,,,,
2025,Ձ,ԺԱ,,,,
2026,Թ,ԻԲ,,,,
2027,Ս,Գ,,,,
2028,ԾԽ,ԺԴ,,,,
2029,Ե,ԻԵ,,,,
2030,Չ,Զ,,,,
2031,Ժ,ԺԷ,,,,
2032,ՎՍ,ԻԸ,,,,
2033,Յ,Թ,,,,
2034,Զ,ԻԱ,,,,
2035,Պ,Բ,,,,
2036,ՂՁ,ԺԴ,,,,
2037,Բ,ԻԴ,,,,
2038,Ն,Ե,,,,
2039,Ծ,ԺԶ,,,,
2040,ԻՑ,ԻԷ,,,,
2041,Ղ,Ը,,,,
2042,Ժ,ԺԹ,,,,
2043,Վ,Լ,,,,
2044,ՆՅ,ԺԱ,,,,
2045,Զ,ԻԲ,,,,
2046,Պ,Գ,,,,
2047,Ղ,ԺԴ,,,,
2048,ԳԲ,ԻԵ,,,,
2049,Ն,Զ,,,,
2050,Ծ,ԺԷ,,,,
2051,Ւ,ԻԸ,,,,
2052,ՃՂ,Թ,,,,
2053,Ժ,ԻԱ,,,,
2054,Վ,Բ,,,,
2055,Կ,ԺԴ,,,,
2056,ԷԶ,ԻԴ,,,,
2057,Պ,Ե,,,,
2058,Ի,ԺԶ,,,,
2059,Տ,ԻԷ,,,,
2060,ՇՆ,Ը,,,,
2061,Է,ԺԹ,,,,
2062,Ջ,Լ,,,,
2063,Ճ,ԺԱ,,,,
2064,ԻԺ,ԻԲ,,,,
2065,Շ,Գ,,,,
2066,Կ,ԺԴ,,,,
2067,Է,ԻԵ,,,,
2068,ՋՊ,Զ,,,,
2069,Ի,ԺԷ,,,,
2070,Տ,ԻԸ,,,,
2071,Հ,Թ,,,,
2072,ԸԷ,ԻԱ,,,,
2073,Ջ,Բ,,,,
2074,Ճ,ԺԴ,,,,
2075,Դ,ԻԴ,,,,
2076,ՈՇ,Ե,,,,
2077,Կ,ԺԶ,,,,
2078,Փ,ԻԷ,,,,
2079,Մ,Ը,,,,